Query,Refcode,LAB1,LAB2,DIST1,LOS,SHIELDING,SHIELD_ATOM
1,WINKEM,N2,O1,3.690,+,0.111,O2
1,WIPFAF,N2,O5,3.747,+,0.007,C24
1,WIQYUT,N6,O9,3.947,-,-0.138,O10
1,WIQYUT,N5,O10,3.870,-,-0.069,O9
1,WIQYUT,N5,O9,3.849,-,-0.178,O9
1,WISFAI,N1,O2,2.897,+,0.145,C14
1,WOVXOU02,N1,O1,3.362,+,0.195,C8
1,XIRVIG,N1,O5,3.151,+,0.099,O2
1,XIRVIG,N3,O1,3.968,-,-0.276,O5
1,XIRVIG,N5,O9,3.731,-,-0.255,O10
1,XIRVIG,N7,O1,3.612,-,-0.077,O14
1,XIRVIG,N7,O13,2.936,+,0.312,O13
1,XIRVIG,N3,O2,3.019,+,0.206,O5
1,XIRVIG,N5,O10,3.050,+,0.334,O9
1,XIRVIG,N7,O14,3.674,-,-0.302,O13
1,XIRVIG,N1,O11,3.432,-,-0.032,O1
1,XIRVIG,N1,O15,3.259,+,0.088,O1
1,XIRVIG,N1,O3,3.500,+,0.036,O2
1,XIRVIG,N3,O3,3.672,-,-0.364,O5
1,XIRVIG,N7,O15,3.106,+,0.068,O13
1,XIRVIG,N3,O4,3.535,+,0.226,O5
1,XIRVIG,N5,O12,3.628,-,-0.111,O9
1,XIRVIG,N2,O5,3.186,+,0.084,O3
1,XIRVIG,N6,O1,3.135,+,0.217,O11
1,XIRVIG,N6,O9,3.103,+,0.333,O12
1,XIRVIG,N8,O13,3.374,-,-0.169,O15
1,XIRVIG,N2,O2,3.369,+,0.148,O3
1,XIRVIG,N4,O14,3.652,+,0.009,O8
1,XIRVIG,N4,O6,3.090,+,0.299,O8
1,XIRVIG,N8,O2,3.926,-,-0.409,O15
1,XIRVIG,N2,O15,3.851,-,-0.790,O3
1,XIRVIG,N8,O3,3.066,+,0.030,O15
1,XIRVIG,N2,O16,3.884,-,-0.268,O3
1,XIRWED,N1,O2F,3.293,-,-0.024,O2
1,XIRWED,N1,O3F,3.363,+,0.124,O2
1,XIRWED,N1,O3F,3.757,-,-0.195,O3
1,XIRWED,N1,O1,3.859,-,-0.408,C2
1,XISJIV,N2,O2,3.876,+,0.031,O4
1,XISZAD,N1,O1,3.040,+,0.041,O1
1,XITGOZ,N3,O3,3.392,+,0.227,C14
1,XITGOZ,N3,O3,3.831,-,-0.243,O4
1,XITGOZ,N3,O4,3.736,-,-0.150,O3
1,XITGOZ,N3,O5,3.338,+,0.063,C14
1,XITGOZ,N3,O6,3.974,-,-0.313,O3
1,XITGOZ,N4,O3,3.117,+,0.429,O5
1,XITGOZ,N4,O4,3.988,-,-0.307,N3
1,XITPOI,N2,O3,3.041,+,0.245,O3
1,XITTAY,N1,O4,3.852,-,-0.394,O2
1,XITTEC,N3,O7,3.759,+,0.213,C25
1,XIWSII,N2,O4,3.048,+,0.396,O6
1,XIWSUU,N1,O3,2.870,+,0.369,O2
1,XIXWEJ,N1,O5,3.084,+,0.314,C4
1,XIYFUJ,N1,O5,3.768,+,0.107,O4
1,XIYFUJ,N1,O2,3.565,+,0.140,C7
1,XIYGIY,N1,O6,3.175,+,0.319,C4
1,XIYGIY,N2,O2,3.521,+,0.316,C11
1,XIYGUK,N1,O5,3.972,+,0.095,C8
1,XIYGUK,N1,O2,3.668,+,0.158,C7
1,XIYHIZ,N1,O3,3.252,+,0.292,C4
1,XIYHOF,N1,O5,3.796,+,0.075,O4
1,XIYJEX,N1,O2,3.142,+,0.354,C4
1,XIYJIB,N1,O2,3.024,+,0.370,C4
1,XIYJOH,N1,O4,3.143,+,0.160,O4
1,XIYJUN,N1,O7,3.125,+,0.254,O4
1,XIYJUN,N1,O7,3.871,-,-0.222,O2
1,XIYJUN,N1,O8,3.354,+,0.361,C6
1,XIYJUN,N1,O8,3.866,-,-0.283,O4
1,XIYJUN,N2,O2,3.366,+,0.219,O7
1,XIYJUN,N2,O4,3.088,+,0.318,C10
1,XIYJUN,N2,O4,3.829,-,-0.380,O7
1,XIYKAU,N1,O3,3.269,+,0.269,O4
1,XIYKAU,N1,O4,3.593,+,0.001,O3
1,XIYKUO,N1,O1,3.686,-,-0.300,O4
1,XIYKUO,N1,O3,3.122,+,0.188,O4
1,XIYKUO,N1,O4,3.877,+,0.236,O3
1,XIZCER,N11,O3,3.701,-,-0.191,O9
1,XIZCER,N5,O9,3.531,-,-0.031,O3
1,XIZCER,N11,O11,3.621,+,0.088,O9
1,XIZCER,N11,O7,3.929,-,-0.547,O9
1,XIZCER,N5,O8,3.888,-,-0.420,O3
1,XIZCER,N6,O4,3.757,-,-0.189,O5
1,XIZCER,N12,O2B,3.365,+,0.008,O11
1,XIZCER,N6,O8,3.533,-,-0.117,O6
1,XIZCER,N10,O9,3.320,+,0.054,O7
1,XIZCER,N4,O5,3.350,+,0.154,O1
1,XIZCER,N10,O6,3.591,-,-0.162,O8
1,XIZSAD,N5,O1,3.217,+,0.331,O1
1,YILLAJ,N1,O6,2.862,+,0.369,O3
1,ZEPTAS01,N3,O2,3.790,-,-0.348,C7
1,ZEPTAS01,N3,O3,3.574,-,-0.158,O3
1,ZILNAM,N4,O3,3.854,-,-0.405,O5
1,ZIRQOJ,N2,O2,3.099,+,0.391,O4
1,ZISQUQ,N1,O6,3.609,-,-0.122,O1
1,ZISYIM,N2,O2,3.133,+,0.343,O5
1,ZIXTOS,N3,O1,3.363,+,0.038,C4
1,ZIYFAR,N3,O4,3.784,-,-0.136,O5
1,ZIYFAR,N3,O5,3.068,+,0.282,O5
1,ZIZNOO,N1,O6,3.637,+,0.089,O3
1,ZIZNOO,N1,O4,3.232,+,0.172,O3
1,ZIZNOO,N2,O3,3.248,+,0.156,O4
1,ZIZRAE,N1,O2,2.900,+,0.166,C3
1,ZIZRAE,N1,O6,3.785,-,-0.181,C3
1,ZIZRAE,N2,O5,2.965,+,0.296,C5
1,ZIZRAE,N2,O5,3.653,-,-0.190,O6
1,ZIZRAE,N2,O6,3.432,+,0.010,O5
1,ZOBGEF,N2,O4,3.521,+,0.096,N2
1,ZOBGEF,N2,O5,3.559,+,0.065,N2
1,ZZZMBE03,N1,O2,2.864,+,0.292,O2
1,ZZZMBE03,N1,O4,3.823,-,-0.139,O2
1,ZZZMBE03,N1,O4,3.842,-,-0.274,O2
