Query,Refcode,LAB1,LAB2,DIST1,LOS,SHIELDING,SHIELD_ATOM
1,FIYSUE,N4,O4,3.316,+,0.094,N4
1,FIYSUE,N4,O6,3.402,+,0.025,N4
1,FIYSUE,N6,O1,3.647,-,-0.038,O8
1,FIYSUE,N6,O1,3.919,-,-0.213,C3
1,FIYSUE,N6,O4,3.768,-,-0.003,C17
1,FIYTAL,N2,O6,3.837,+,0.196,C5
1,FIYTAL,N2,O4,3.506,+,0.180,N2
1,FIYTAL,N2,O5,3.645,+,0.057,N2
1,FIYTEP,N2,O1,3.539,-,-0.168,O2
1,FIYTEP,N2,O2,3.101,+,0.211,O1
1,FIYTEP,N2,O6,3.851,-,-0.381,O2
1,FIYTEP,N1,O1,3.360,+,0.032,C5
1,FIYTEP,N3,O8,3.328,+,0.182,O6
1,FIYTEP,N3,O2,3.758,-,-0.288,O6
1,FIYWAO,N2,O1,3.763,-,-0.227,O3
1,FIYWAO,N2,O4,3.678,-,-0.337,O4
1,FIYWAO,N2,O6,3.849,-,-0.076,O3
1,FIYWAO,N2,O7,3.376,-,-0.059,O3
1,FIYWAO,N3,O1,3.130,+,0.211,O5
1,FIYWAO,N3,O3,3.935,-,-0.162,O6
1,FIYWAO,N3,O4,3.618,-,-0.241,O6
1,FIYWAO,N3,O5,3.972,+,0.227,O6
1,FIYWAO,N1,O3,3.022,+,0.300,O2
1,FIYWAO,N1,O7,3.499,-,-0.157,O2
1,FIYWAO,N1,O7,3.840,-,-0.829,O2
1,FIYWAO,N1,O8,3.694,-,-0.337,O2
1,FIYWAO,N1,O8,3.697,-,-0.080,O2
1,FIZHII,N1,O1,3.182,+,0.314,N1
1,FIZHII,N1,O2,3.667,-,-0.086,N1
1,FIZMAF,N1,O4,3.874,+,0.390,H1
1,FIZQIR,N1,O4,2.950,+,0.208,O6
1,FIZQIR,N2,O5,3.784,+,0.129,O8
1,GIVCUM,N3,O10,3.365,+,0.272,O10
1,GIVDAT,N1,O4,3.033,+,0.301,C2
1,GIWNIM,N2,O5,3.029,+,0.204,O3
1,GIWTIS,N7,O4,3.621,-,-0.193,O3
1,GIWTIS,N7,O3,2.801,+,0.306,C3
1,GIWTIS,N7,O3,3.875,-,-0.594,O3
1,GIWTIS,N6,O4,3.300,+,0.174,C4
1,GIWTIS,N6,O5,3.961,-,-0.153,O4
1,GIWTIS,N6,O6,3.655,-,-0.170,C1
1,GIWVEQ,N6,O5,3.133,+,0.007,C2
1,GIWVEQ,N6,O2,3.566,+,0.018,C2
1,GIWVEQ,N7,O3,3.866,-,-0.172,O5
1,GIWVEQ,N7,O4,3.331,+,0.235,O5
1,GIWVEQ,N7,O5,3.288,-,-0.033,C3
1,GIWXUI,N3,O2,3.600,+,0.087,O3
1,GIWXUI,N3,O3,3.710,-,-0.005,O2
1,GIYMUZ,N2,O1,3.421,+,0.162,C2
1,HIKXIL,N1,O2,3.230,+,0.088,C13
1,HILGIV,N1,O3,3.079,+,0.330,O4
1,HILGIV,N1,O7,3.628,-,-0.156,O3
1,HILGIV,N4,O3,3.975,-,-0.515,O7
1,HILGIV,N4,O7,3.778,-,-0.110,O8
1,HILGIV,N1,O4,3.639,-,-0.148,O3
1,HILGIV,N4,O8,3.234,+,0.345,O7
1,HINQAZ,N1,O2,3.307,+,0.120,O2
1,HIQBIV,N1,O2A,3.632,+,0.047,C1
1,HIQBIV,N1,O1A,3.111,+,0.200,C1
1,HIQBOB,N3,O1,3.393,-,-0.045,O4
1,HIQBOB,N3,O1,3.933,-,-0.113,O3
1,HIQBOB,N3,O1A,3.139,+,0.044,O4
1,HIQBOB,N3,O2,3.323,+,0.031,C2
1,HIQBOB,N3,O2,3.895,-,-0.056,O4
1,HIRGOH,N2,O3,3.603,+,0.043,O6
1,HIRXAK,N3,O4,3.272,+,0.159,O4
1,HIRXAK,N3,O5,3.967,-,-0.438,O4
1,HISGAU,N3,O4,3.149,+,0.211,O1
1,HISGAU,N6,O1,3.201,+,0.167,O4
1,ISAYAC02,N2,O1,3.876,-,-0.200,O1
1,ISAYAC02,N2,O2,3.056,+,0.140,O2
1,ISAYAC02,N3,O3,3.175,+,0.026,O4
1,ISAYAC02,N3,O4,3.947,+,0.280,O4
1,ISAYEG01,N2,O1,3.720,-,-0.157,O2
1,ISAYEG01,N2,O2,3.159,-,-0.023,O2
1,ISAYEG01,N2,O2,3.355,+,0.156,O1
1,ISAYEG01,N3,O4,3.710,+,0.070,C5
1,JICYUS,N1,O3,3.965,-,-0.820,O3
1,JIJHOC,N1,O4,3.798,-,-0.228,C1
1,JIJHOC,N1,O7,3.944,-,-0.189,C25
1,JILBEO,N2,O6,3.387,+,0.105,C11
1,JIPSAF,N1,O4,3.677,+,0.017,O1
1,JIPSAF,N11,O1,3.146,+,0.046,C6
1,JIQKUS,N4,O3,3.079,+,0.349,O3
1,JIQXIT,N1,O2,3.257,+,0.195,O3
1,JIQXIT,N1,O3,3.893,-,-0.382,O2
1,JIRZIW,N1,O1,3.011,+,0.288,O1
1,JIRZIW,N1,O2,3.928,-,-0.260,O1
1,JIRZIW,N1,O5,3.558,+,0.229,O1
1,JISJON,N1,O2,3.220,+,0.273,O2
1,JISJON,N2,O4,3.167,+,0.029,O4
1,JITJOO,N6,O1,3.666,-,-0.221,O3
1,JITJOO,N6,O5,3.387,+,0.053,O3
1,JITJOO,N6,O14,3.840,-,-0.467,O4
1,JITJOO,N7,O13,3.650,-,-0.094,O2
1,JITJOO,N7,O14,3.690,+,0.138,O1
1,JITJOO,N7,O14,3.911,-,-0.677,O2
1,JITJOO,N8,O13,3.852,-,-0.363,O6
1,JITJOO,N11,O8,3.805,-,-0.283,O11
1,JITJOO,N11,O4,3.913,-,-0.764,O11
1,JITJOO,N11,O9,3.571,-,-0.175,O12
1,JITJOO,N11,O9,3.891,-,-0.256,O12
1,JITJOO,N11,O10,3.718,-,-0.025,O12
1,JITJOO,N11,O15,3.888,-,-1.086,O12
1,JITJOO,N12,O4,3.458,-,-0.091,O14
1,JITJOO,N12,O2,3.295,-,-0.023,O14
1,JITJOO,N13,O7,3.739,-,-0.509,O15
1,JITJOO,N13,O8,3.805,-,-0.325,O16
1,JITJOO,N13,O9,3.931,-,-0.260,O15
1,JITJOO,N13,O10,3.661,-,-0.062,O16
1,JITJOO,N13,O12,3.751,-,-0.807,O15
1,JITJUU,N5,O3,3.957,+,0.041,O1
1,JITJUU,N5,O6,3.476,-,-0.031,O1
1,JITJUU,N6,O8,3.455,-,-0.104,O3
1,JITJUU,N6,O9,3.749,-,-0.159,O3
1,JITJUU,N6,O10,3.701,-,-0.309,O4
1,JITJUU,N6,O12,3.763,-,-0.422,O4
1,JITJUU,N7,O4,3.868,-,-0.746,O5
1,JITJUU,N7,O11,3.474,-,-0.288,O5
