Query, Refcode,LAB1  ,LAB2  ,DIST1 
1,FIZHII,N1,O1,3.182
1,FIZHII,N1,O2,3.667
1,FIZMAF,N1,O4,3.874
1,FIZQIR,N1,O4,2.950
1,FIZQIR,N2,O5,3.784
1,GIVCUM,N3,O10,3.365
1,GIVDAT,N1,O4,3.033
1,GIWNIM,N2,O5,3.029
1,GIWTIS,N7,O4,3.621
1,GIWTIS,N7,O3,2.801
1,GIWTIS,N7,O3,3.875
1,GIWTIS,N6,O4,3.300
1,GIWTIS,N6,O5,3.961
1,GIWTIS,N6,O6,3.655
1,GIWVEQ,N6,O5,3.133
1,GIWVEQ,N6,O2,3.566
1,GIWVEQ,N7,O3,3.866
1,GIWVEQ,N7,O4,3.331
1,GIWVEQ,N7,O5,3.288
1,GIWXUI,N3,O2,3.600
1,GIWXUI,N3,O3,3.710
1,GIYMUZ,N2,O1,3.421
1,HIKXIL,N1,O2,3.230
1,HILGIV,N1,O3,3.079
1,HILGIV,N1,O7,3.628
1,HILGIV,N4,O3,3.975
1,HILGIV,N4,O7,3.778
1,HILGIV,N1,O4,3.639
1,HILGIV,N4,O8,3.234
1,HINQAZ,N1,O2,3.307
1,HIQBIV,N1,O2A,3.632
1,HIQBIV,N1,O1A,3.111
1,HIQBOB,N3,O1,3.393
1,HIQBOB,N3,O1,3.933
1,HIQBOB,N3,O1A,3.139
1,HIQBOB,N3,O2,3.323
1,HIQBOB,N3,O2,3.895
1,HIRGOH,N2,O3,3.603
1,HIRXAK,N3,O4,3.272
1,HIRXAK,N3,O5,3.967
1,HISGAU,N3,O4,3.149
1,HISGAU,N6,O1,3.201
1,ISAYAC02,N2,O1,3.876
1,ISAYAC02,N2,O2,3.056
1,ISAYAC02,N3,O3,3.175
1,ISAYAC02,N3,O4,3.947
1,ISAYEG01,N2,O1,3.720
1,ISAYEG01,N2,O2,3.159
1,ISAYEG01,N2,O2,3.355
1,ISAYEG01,N3,O4,3.710
1,JICYUS,N1,O3,3.965
1,JIJHOC,N1,O4,3.798
1,JIJHOC,N1,O7,3.944
1,JILBEO,N2,O6,3.387
1,JIPSAF,N1,O4,3.677
1,JIPSAF,N11,O1,3.146
1,JIQKUS,N4,O3,3.079
1,JIQXIT,N1,O2,3.257
1,JIQXIT,N1,O3,3.893
1,JIRZIW,N1,O1,3.011
1,JIRZIW,N1,O2,3.928
1,JIRZIW,N1,O5,3.558
1,JISJON,N1,O2,3.220
1,JISJON,N2,O4,3.167
1,JITJOO,N6,O1,3.666
1,JITJOO,N6,O5,3.387
1,JITJOO,N6,O14,3.840
1,JITJOO,N7,O13,3.650
1,JITJOO,N7,O14,3.690
1,JITJOO,N7,O14,3.911
1,JITJOO,N8,O13,3.852
1,JITJOO,N11,O8,3.805
1,JITJOO,N11,O4,3.913
1,JITJOO,N11,O9,3.571
1,JITJOO,N11,O9,3.891
1,JITJOO,N11,O10,3.718
1,JITJOO,N11,O15,3.888
1,JITJOO,N12,O4,3.458
1,JITJOO,N12,O2,3.295
1,JITJOO,N13,O7,3.739
1,JITJOO,N13,O8,3.805
1,JITJOO,N13,O9,3.931
1,JITJOO,N13,O10,3.661
1,JITJOO,N13,O12,3.751
1,JITJUU,N5,O3,3.957
1,JITJUU,N5,O6,3.476
1,JITJUU,N6,O8,3.455
1,JITJUU,N6,O9,3.749
1,JITJUU,N6,O10,3.701
1,JITJUU,N6,O12,3.763
1,JITJUU,N7,O4,3.868
1,JITJUU,N7,O11,3.474
1,JITJUU,N9,O2,3.577
1,JITJUU,N9,O9,3.981
1,JITJUU,N9,O12,3.019
1,JITJUU,N10,O1,3.815
1,JITJUU,N10,O3,3.709
1,JITJUU,N10,O4,3.286
